,Prices,title,location,Model,Marque,Kilometrage,Etat,Annee_Modele,Premiere_main,Nombre_de_portes,Origine,Type_de_Carburant,boite_de_vitesse
465,495 000 DH,Mercedes GLA 200 d 2024 - 23 000 KM Distinctive,"Californie, Casablanca",Focus,Ford,170 000 - 179 999,Bon,2014,Oui,5,WW au Maroc,Diesel,Manuelle
466,,peugeot 208,"Hay Laymouna, Casablanca",Classe GLA,Mercedes-Benz,20 000 - 24 999,Neuf,2024,Oui,5,WW au Maroc,Diesel,Automatique
467,,Volkswagen Caddy Diesel Automatique 2021,"Aïn Chock, Casablanca",208,Peugeot,70 000 - 74 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Manuelle
468,,Volkswagen Caddy Diesel Automatique 2022,"Aïn Chock, Casablanca",Caddy,Volkswagen,140 000 - 149 999,,2021,Non,5,Dédouanée,Diesel,Automatique
469,,OPEL Corsa 1.5 D Edition,"Autre secteur, Rabat",Caddy,Volkswagen,120 000 - 129 999,Excellent,2022,Non,5,Dédouanée,Diesel,Automatique
470,,Porsche Cayenne Coupé Essence Automatique 2020,"Californie, Casablanca",Corsa,Opel,5 000 - 9 999,Excellent,2024,Oui,5,WW au Maroc,Diesel,Manuelle
471,242 000 DH,Opel Mokka GS Line plus 1ère main 2023,"Hay Riad, Fès",Cayenne,Porsche,75 000 - 79 999,Excellent,2020,Oui,5,Importée neuve,Essence,Automatique
472,285 000 DH,Range Rover Evoque R dynamique,"Maarif, Casablanca",Mokka,Opel,25 000 - 29 999,Excellent,2023,Oui,5,WW au Maroc,Diesel,Manuelle
473,335 000 DH,Land Rover Range Rover Sport HSE Diesel Auto,"Oasis, Casablanca",Range Rover Evoque,Land Rover,90 000 - 94 999,Excellent,2018,,,,Diesel,Automatique
474,139 000 DH,Clio 5 tt option,"2 Mars, Casablanca",Range Rover Sport,Land Rover,160 000 - 169 999,Très bon,2016,Oui,5,WW au Maroc,Diesel,Automatique
475,,Renault Clio Diesel Manuelle 2021 à Safi,"Hay Essaâda, Safi",Clio,Renault,100 000 - 109 999,Très bon,2021,Non,3,WW au Maroc,Diesel,Manuelle
476,,Rs3 facelift,"Hay El Qods, Oujda",Clio,Renault,100 000 - 109 999,Neuf,2021,Oui,5,WW au Maroc,Diesel,Manuelle
477,,Audi RS3 Essence,"Aïn Chock, Casablanca",A3,Audi,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Essence,Automatique
478,240 000 DH,BMW X1 Diesel Automatique 2017 à Casablanca,"Autre secteur, Casablanca",A3,Audi,0 - 4 999,Neuf,2025,,5,Importée neuve,Essence,Automatique
479,,Mercedes-Benz Classe C Diesel Automatique 2018,"Toute la ville, Khouribga",X1,BMW,130 000 - 139 999,Bon,2017,Oui,5,WW au Maroc,Diesel,Automatique
480,,Bentely gt continentale 2015 v8,"Bourgogne, Casablanca",Classe C,Mercedes-Benz,150 000 - 159 999,Excellent,2018,,5,Dédouanée,Diesel,Automatique
481,,Audi Q5 Diesel Automatique 2020 à Agadir,"Av Mokawama, Agadir",Continental GT,Bentley,10 000 - 14 999,Excellent,2015,Non,3,WW au Maroc,Essence,Automatique
482,,Mercedes-Benz Classe C 63S Coupe Cabriolet,"Quartier des Hôpitaux, Casablanca",Q5,Audi,90 000 - 94 999,Neuf,2020,Oui,5,WW au Maroc,Diesel,Automatique
483,,citroen c3 feel plus 76k 1ére main,"Moulay Youssef, Tanger",Classe C,Mercedes-Benz,40 000 - 44 999,Excellent,2019,Oui,3,Importée neuve,Essence,Automatique
484,,MERCEDES C220 M2014 D2019,"Zitoune, Meknès",C3,Citroen,70 000 - 74 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Manuelle
485,118 000 DH,Renault clio diesel,"Narjis, Fès",Classe C,Mercedes-Benz,200 000 - 249 999,Excellent,2014,Non,5,Dédouanée,Diesel,Automatique
486,,Peugeot 208 Diesel Manuelle 2025 à Rabat,"Hay Riad, Rabat",Clio,Renault,90 000 - 94 999,Excellent,2019,Non,5,WW au Maroc,Diesel,Manuelle
487,,Range Rover Evoque,"Aïn Diab, Casablanca",208,Peugeot,0 - 4 999,Excellent,2025,Oui,5,WW au Maroc,Diesel,Manuelle
488,,Peugeot 5008 GT-Line 7 Places - DERKAOUI AUTO,"Val Fleuri, Tanger",Range Rover Evoque,Land Rover,45 000 - 49 999,Excellent,2020,Oui,5,WW au Maroc,Diesel,Automatique
489,,Ford Kuga Titanium Fin 2017 à Fès,"Agdal, Fès",5008,Peugeot,60 000 - 64 999,Excellent,2019,Non,5,WW au Maroc,Diesel,Automatique
490,255 000 DH,Peugeot 3008 Diesel Automatique 2019 à Tétouan,"Wilaya, Tétouan",Kuga,Ford,130 000 - 139 999,Très bon,2017,Non,5,WW au Maroc,Diesel,Manuelle
491,265 000 DH,master 3 pano neuf,"Sidi Bernoussi, Casablanca",3008,Peugeot,150 000 - 159 999,Excellent,2019,Oui,5,WW au Maroc,Diesel,Automatique
492,,Skoda Octavia Diesel Automatique 2024 à Agadir,"Av Mokawama, Agadir",Master,Renault,45 000 - 49 999,Neuf,2022,Oui,5,WW au Maroc,Diesel,Manuelle
493,,Fiat 500 Essance Automatique 2016 à Agadir,"Av Mokawama, Agadir",Octavia,Skoda,20 000 - 24 999,Neuf,2024,Oui,5,WW au Maroc,Diesel,Automatique
494,,Land rover-Discovery sport Diesel,"Hay el Fath, Rabat",500,Fiat,100 000 - 109 999,Excellent,2016,Oui,5,WW au Maroc,Essence,Automatique
495,,Toyota Prado Diesel Manuelle 2020 à Casablanca,"Aïn Borja, Casablanca",Prado,Toyota,200 000 - 249 999,Excellent,2020,Oui,3,WW au Maroc,Diesel,Manuelle
496,82 000 DH,Polo r 6 esance,"2 Mars, Casablanca",Polo,Volkswagen,110 000 - 119 999,Excellent,2013,Non,5,WW au Maroc,Essence,Manuelle
497,,Mercedes Benz CLS 300,"Aïn Diab, Casablanca",Classe CLS,Mercedes-Benz,50 000 - 54 999,Excellent,2019,Oui,5,Importée neuve,Diesel,Automatique
498,89 000 DH,Renault Fluence Diesel Manuelle 2012 à Deroua,"Toute la ville, Deroua",Fluence,Renault,200 000 - 249 999,Très bon,2012,Non,5,WW au Maroc,Diesel,Manuelle
499,310 000 DH,renault,"Les Orangers, Rabat",Arkana,Renault,20 000 - 24 999,Excellent,2022,Non,5,Dédouanée,Hybride,Automatique
500,148 000 DH,Clio 4 automatique 2020 tout option,"Tilila, Agadir",Clio,Renault,130 000 - 139 999,Très bon,2020,Non,5,WW au Maroc,Diesel,Automatique
501,450 000 DH,Bmw serie 318d 3.000km,"Californie, Casablanca",Série 3,BMW,0 - 4 999,Excellent,2024,Oui,5,WW au Maroc,Diesel,Automatique
502,150 000 DH,Mini One Diesel première main 2016 à Mohammedia,"Autre secteur, Mohammedia",One,Mini,60 000 - 64 999,Excellent,2016,Oui,3,WW au Maroc,Diesel,Manuelle
503,510 000 DH,Mercedes-Benz Classe C200 Essence Automatique 2023,"Guéliz, Marrakech",Classe C,Mercedes-Benz,40 000 - 44 999,Excellent,2023,,5,Dédouanée,Essence,Automatique
504,118 000 DH,Dacia dokker modèle 2019,"Massira 3, Marrakech",Dokker,Dacia,140 000 - 149 999,Excellent,2019,Non,5,WW au Maroc,Diesel,Manuelle
505,62 000 DH,Peugeot Partner Diesel Manuelle 2008 à Tanger,"Tanger City Center, Tanger",Partner,Peugeot,300 000 - 349 999,Très bon,2008,Non,5,WW au Maroc,Diesel,Manuelle
506,62 000 DH,لوكان البيع 2007عامرة,"Sidi Moumen, Casablanca",Logan,Dacia,0 - 4 999,Excellent,2007,Non,5,WW au Maroc,Diesel,Manuelle
507,109 000 DH,opel corsa,"Biyada, Safi",Corsa,Opel,10 000 - 14 999,Très bon,2016,Non,5,Dédouanée,Diesel,Manuelle
508,,MERCEDES CLASSE V220,"Bourgogne, Casablanca",Classe V,Mercedes-Benz,75 000 - 79 999,Excellent,2017,Oui,5,WW au Maroc,Diesel,Automatique
509,,Mercedes-Benz Classe CLA Diesel Automatique 2017,"Av Mokawama, Agadir",Classe CLA,Mercedes-Benz,100 000 - 109 999,Excellent,2017,Oui,5,WW au Maroc,Diesel,Automatique
510,,Audi A4 Diesel Automatique 2022 à Agadir,"Av Mokawama, Agadir",A4,Audi,90 000 - 94 999,Neuf,2022,Oui,5,WW au Maroc,Diesel,Automatique
511,,Volkswagen Vento Diesel Manuelle 1994 à Tétouan,"Centre ville, Tétouan",Vento,Volkswagen,150 000 - 159 999,Bon,1994,Non,5,Dédouanée,Diesel,Manuelle
512,120 000 DH,CLIO DIESEL,"Hay Ouifak, Fès",Clio,Renault,120 000 - 129 999,Très bon,2019,Non,5,WW au Maroc,Diesel,Manuelle
513,220 000 DH,Toyota Corolla Hybride Automatique 2021 à Tanger,"Mesnana, Tanger",Logan,Dacia,100 000 - 109 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Manuelle
514,41 000 DH,renault megane,"Zone Industrielle Agadir, Agadir",Corolla,Toyota,40 000 - 44 999,Très bon,2021,Oui,5,WW au Maroc,Hybride,Automatique
515,380 000 DH,golf 8 gtd,"Agdal, Fès",Megane,Renault,200 000 - 249 999,Bon,2003,Non,5,Dédouanée,Diesel,Manuelle
516,95 000 DH,Toyota Corolla 2013,"Toute la ville, Laâyoune",Golf 8,Volkswagen,95 000 - 99 999,Excellent,2021,Oui,5,Dédouanée,Diesel,Automatique
517,275 000 DH,Mercedes C220,"Californie, Casablanca",Corolla,Toyota,160 000 - 169 999,Très bon,2013,Non,5,Dédouanée,Essence,Manuelle
518,,Toyota Hilux Diesel Manuelle 2021 à Casablanca,"Aïn Borja, Casablanca",Classe C,Mercedes-Benz,160 000 - 169 999,Excellent,2017,Non,5,WW au Maroc,Diesel,Automatique
519,,Fiat fiorino,"Aïn Chock, Casablanca",Hilux,Toyota,65 000 - 69 999,Excellent,2021,,5,WW au Maroc,Diesel,Manuelle
520,,Audi A6 diesel automatique 2021,"Av Mokawama, Agadir",Fiorino,Fiat,95 000 - 99 999,Excellent,2021,,,WW au Maroc,Diesel,Automatique
521,,Volvo S80 D5 AWD,"Autre secteur, Kénitra",A6,Audi,70 000 - 74 999,Neuf,2021,Non,5,WW au Maroc,Diesel,Automatique
522,47 000 DH,Volkswagen Polo Diesel Manuelle 2002 à Tétouan,"Route de Ceuta, Tétouan",S80,Volvo,200 000 - 249 999,Excellent,2011,,,WW au Maroc,Diesel,Automatique
523,,Seat Ateca Diesel Manuelle 2020 à Marrakech,"Afaq, Marrakech",Polo,Volkswagen,400 000 - 449 999,Bon,2002,,,,Diesel,Manuelle
524,,Dacia logan 5/2024,"Toute la ville, Ribat el Kheir",Ateca,Seat,160 000 - 169 999,Excellent,2020,Oui,5,Dédouanée,Diesel,Manuelle
525,,golf 7.5 gtd,"Autre secteur, Marrakech",Logan,Dacia,10 000 - 14 999,Neuf,2024,Oui,5,WW au Maroc,Electrique,Manuelle
526,108 000 DH,Citroen C3 Diesel 2018 clima,"Ain Sebaa, Casablanca",Golf 7,Volkswagen,140 000 - 149 999,Neuf,2018,,,Dédouanée,Diesel,Automatique
527,,Hyundai Tucson Diesel Automatique 2023 à Agadir,"Abattoirs, Agadir",KUV 100,Mahindra,30 000 - 34 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Manuelle
528,,Range rover évoque bébé Vilar,"Hay el Fath, Rabat",C3,Citroen,140 000 - 149 999,Excellent,2018,Non,5,WW au Maroc,Diesel,Manuelle
529,,Seat Ateca Diesel Automatique 2017 à Marrakech,"Massira 1, Marrakech",Tucson,Hyundai,40 000 - 44 999,Neuf,2023,Oui,5,WW au Maroc,Diesel,Automatique
530,,Skoda Karoq 2020 dédouanée 2025,"Toute la ville, Settat",Range Rover Evoque,Land Rover,70 000 - 74 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Automatique
531,135 000 DH,Dacia dokker diesel,"Massira, Rabat",Ateca,Seat,110 000 - 119 999,Excellent,2017,Oui,5,WW au Maroc,Diesel,Automatique
532,,Mercedes Benz class A 200d automatique 2022,"Av Mokawama, Agadir",Karoq,Skoda,190 000 - 199 999,Excellent,2020,,5,Dédouanée,Diesel,Automatique
533,,Peugeot 308,"Almaz, Casablanca",Dokker,Dacia,70 000 - 74 999,Très bon,2018,Non,5,WW au Maroc,Diesel,Manuelle
534,,VOLKSWAGEN GOLF 7 M2015,"Zerhounia, Meknès",Classe A,Mercedes-Benz,110 000 - 119 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Automatique
535,249 000 DH,Volkswagen Passat Diesel Automatique 2020 à Rabat,"Agdal, Rabat",308,Peugeot,200 000 - 249 999,Très bon,2012,Non,5,,Diesel,Manuelle
536,,Mercedes-Benz Classe A200 Diesel Automatique 2020,"Aïn Chock, Casablanca",Golf 7,Volkswagen,250 000 - 299 999,Très bon,2015,Non,5,WW au Maroc,Diesel,Manuelle
537,,Land Rover Range Rover Vogue Diesel Automatique,"Californie, Casablanca",Passat,Volkswagen,85 000 - 89 999,Très bon,2020,Oui,5,WW au Maroc,Diesel,Automatique
538,,RANGE ROVER ÉVOQUÉ DYNAMIQUE M2012,"Zerhounia, Meknès",Classe A,Mercedes-Benz,140 000 - 149 999,Excellent,2020,,,Dédouanée,Diesel,Automatique
539,,Fiat 500 Essence Automatique 2022 à Marrakech,"Hay Targa, Marrakech",Range Rover Vogue,Land Rover,110 000 - 119 999,Excellent,2019,Oui,5,WW au Maroc,Diesel,Automatique
540,110 000 DH,CHERY TIGGO 2 PRO,"Route d'Azemmour, Casablanca",Range Rover Evoque,Land Rover,250 000 - 299 999,Excellent,2012,Non,5,WW au Maroc,Diesel,Automatique
541,62 000 DH,Peugeot Partner Diesel Manuelle 2008 à Tanger,"Tanger City Center, Tanger",500,Fiat,80 000 - 84 999,Excellent,2022,Oui,3,WW au Maroc,Essence,Automatique
542,290 000 DH,Mercedes-Benz 220 Diesel Automatique 2017 à Rabat,"Agdal, Rabat",Tiggo,Chery,10 000 - 14 999,Excellent,2023,,5,WW au Maroc,Essence,Manuelle
543,705 000 DH,Mitsubishi,"Bourj Moulay Omar, Meknès",Partner,Peugeot,300 000 - 349 999,Très bon,2008,Non,5,WW au Maroc,Diesel,Manuelle
544,,Mercedes c200 d,"2 Mars, Casablanca",220,Mercedes-Benz,160 000 - 169 999,Excellent,2017,Non,5,WW au Maroc,Diesel,Automatique
545,210 000 DH,opel mokka,"Aïn Chock, Casablanca",K01h,DFSK,15 000 - 19 999,Excellent,2020,Oui,3,WW au Maroc,Essence,Manuelle
546,,VOLKSWAGEN TIGUAN M2017/12 D2022,"Zerhounia, Meknès",L200,Mitsubishi,130 000 - 139 999,Bon,2008,Oui,,WW au Maroc,Diesel,Manuelle
547,,Audi A 5 coupé 2022 S Line,"Bourgogne, Casablanca",Classe C,Mercedes-Benz,100 000 - 109 999,Excellent,2019,Oui,5,WW au Maroc,Diesel,Automatique
548,155 000 DH,Peugeot 308 Diesel Automatique 2020 à Mohammedia,"Amal, Mohammedia",Mokka,Opel,30 000 - 34 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Manuelle
549,132 000 DH,Volkswagen Golf 6 dédouanée,"Centre Ville, Casablanca",Tiguan,Volkswagen,190 000 - 199 999,Excellent,2017,Non,5,Dédouanée,Diesel,Manuelle
550,,Mercedes-Benz Classe C Diesel,"Californie, Casablanca",A5,Audi,25 000 - 29 999,Excellent,2022,Oui,3,WW au Maroc,Diesel,Automatique
551,395 000 DH,seat tarraco,"Autre secteur, Casablanca",308,Peugeot,170 000 - 179 999,Très bon,2020,Non,5,WW au Maroc,Diesel,Automatique
552,760 000 DH,bmw x5,"Almaz, Casablanca",Golf 6,Volkswagen,200 000 - 249 999,Très bon,2013,Oui,5,Dédouanée,Diesel,Manuelle
553,850 000 DH,AUDI Q8 SLINE,"Maarif, Casablanca",Classe C,Mercedes-Benz,100 000 - 109 999,Excellent,2020,Oui,5,Dédouanée,Diesel,Automatique
554,135 000 DH,dacia dokker,"Autre secteur, Casablanca",Tarraco,Seat,60 000 - 64 999,Excellent,2023,Oui,5,WW au Maroc,Diesel,Automatique
555,128 000 DH,Renault Clio 4 Intense,"Agdal, Fès",X5,BMW,45 000 - 49 999,Excellent,2022,Oui,5,WW au Maroc,Hybride,Automatique
556,,Nissan juke 2016,"Ain Sebaa, Casablanca",Q8,Audi,90 000 - 94 999,Excellent,2021,,,,Diesel,Automatique
557,145 000 DH,DFSK glory 500 neuve,"Ennasr, Tanger",Dokker,Dacia,110 000 - 119 999,Très bon,2019,Non,5,WW au Maroc,Diesel,Manuelle
558,,Audi Q5 Automatique Prestige,"Hay el Fath, Rabat",Clio,Renault,95 000 - 99 999,Excellent,2017,Non,5,WW au Maroc,Diesel,Manuelle
559,310 000 DH,Peugeot 3008 Diesel Automatique 2022 à Casablanca,"2 Mars, Casablanca",Juke,Nissan,120 000 - 129 999,Très bon,2016,Oui,5,WW au Maroc,Diesel,Manuelle
560,,Dacia Lodgy Diesel Manuelle 2021 à Agadir,"Hay Zaytoun, Agadir",Glory 500,DFSK,5 000 - 9 999,Excellent,2023,Oui,5,,Essence,Automatique
561,,Fiat 500 automatique 2023,"Av Mokawama, Agadir",Qashqai,Nissan,170 000 - 179 999,Bon,2017,Oui,5,,Diesel,Manuelle
562,225 000 DH,Hyundai Tucson Diesel Automatique 2018 à Rabat,"Yacoub El Mansour, Rabat",Q5,Audi,130 000 - 139 999,Excellent,2011,Non,5,WW au Maroc,Diesel,Automatique
563,,Audi Q7 Diesel Automatique 2017 à Agadir,"Av Mokawama, Agadir",3008,Peugeot,60 000 - 64 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Automatique
564,,Dacia Duster tout option,"Hay Riad, Rabat",Lodgy,Dacia,90 000 - 94 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Manuelle
565,,Nissan Qashqai Diesel Automatique 2021 à Salé,"Sala El Jadida, Salé",500,Fiat,55 000 - 59 999,Neuf,2023,Oui,5,WW au Maroc,Essence,Automatique
566,62 000 DH,Mercedes-Benz 250 Diesel Automatique 1991,"Route de Casablanca, Marrakech",Tucson,Hyundai,250 000 - 299 999,Très bon,2018,Oui,5,WW au Maroc,Diesel,Automatique
567,30 000 DH,Honda Civic Essence Manuelle 1994 à Settat,"Toute la ville, Settat",Q7,Audi,160 000 - 169 999,Excellent,2017,Oui,5,WW au Maroc,Diesel,Automatique
568,305 000 DH,Mercedes-Benz Classe C Diesel Automatique 2016,"Hay el Fath, Rabat",Duster,Dacia,55 000 - 59 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Automatique
569,31 000 DH,fiat sienna,"Centre Ville, Oujda",Qashqai,Nissan,80 000 - 84 999,Excellent,2021,Oui,3,WW au Maroc,Diesel,Automatique
570,390 000 DH,golf 8 gtd 200 chv,"Narjis, Fès",250,Mercedes-Benz,170 000 - 179 999,Très bon,1991,Oui,5,Dédouanée,Diesel,Automatique
571,,Volkswagen Tiguan automatique 2019,"Av Mokawama, Agadir",Civic,Honda,300 000 - 349 999,Bon,1994,Non,5,WW au Maroc,Essence,Manuelle
572,180 000 DH,OPEL CORSA Essence Automatique 2023,"Autre secteur, Casablanca",Classe C,Mercedes-Benz,140 000 - 149 999,Très bon,2016,Non,5,Dédouanée,Diesel,Automatique
573,,passât en très bon état,"Aïn Chock, Casablanca",Siena,Fiat,200 000 - 249 999,Excellent,2000,Non,5,WW au Maroc,Essence,Manuelle
574,170 000 DH,golf 7,"Toute la ville, Dakhla",Golf 8,Volkswagen,30 000 - 34 999,Très bon,2021,Non,5,Importée neuve,Diesel,Automatique
575,23 000 DH,190 mercedess,"Bab Fès, Kénitra",Tiguan,Volkswagen,140 000 - 149 999,Excellent,2019,Oui,5,WW au Maroc,Diesel,Automatique
576,,camion frigo,"Hay Izdihar, Marrakech",Corsa,Opel,35 000 - 39 999,Bon,2023,Oui,5,WW au Maroc,Essence,Automatique
577,,volvo,"Amicales, Agadir",Passat,Volkswagen,40 000 - 44 999,Excellent,2021,Oui,,WW au Maroc,Diesel,Automatique
578,,Mercedes Classe V300d VIP Business Classe,"Route de Casablanca, Marrakech",Golf 7,Volkswagen,5 000 - 9 999,Excellent,2018,Non,5,WW au Maroc,Diesel,Manuelle
579,,Bmw serei 520 d automatique,"Autre secteur, Tanger",190,Mercedes-Benz,0 - 4 999,Bon,1987,Non,5,Dédouanée,Diesel,Manuelle
580,,Mercedes GLC Coupe 300de,"Route de Casablanca, Marrakech",Transit,Ford,190 000 - 199 999,Très bon,2020,Oui,3,WW au Maroc,Diesel,Manuelle
581,200 000 DH,mercedes-benz classe a,"Autre secteur, Casablanca",XC90,Volvo,60 000 - 64 999,Excellent,2017,Oui,5,WW au Maroc,Diesel,Automatique
582,,Volkswagen Touareg Diesel Automatique 2022,"Oulfa, Casablanca",Classe V,Mercedes-Benz,0 - 4 999,Neuf,2024,Oui,5,Importée neuve,Diesel,Automatique
583,280 000 DH,toyota corolla,"Aïn Chock, Casablanca",Série 5,BMW,160 000 - 169 999,Très bon,2015,Non,5,WW au Maroc,Diesel,Automatique
584,150 000 DH,KIFAL - DACIA Duster,"Autre secteur, Agadir",Classe GLC,Mercedes-Benz,0 - 4 999,Neuf,2025,Oui,5,WW au Maroc,Hybride,Automatique
585,162 000 DH,renault express,"Aïn Chock, Casablanca",Classe A,Mercedes-Benz,100 000 - 109 999,Très bon,2016,Non,5,WW au Maroc,Diesel,Automatique
586,,Volkswagen Tiguan R line Diesel,"Aïn Chock, Casablanca",Touareg,Volkswagen,40 000 - 44 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Automatique
587,200 000 DH,BMW Série 316 Diesel,"Hay Hassani, Casablanca",Corolla,Toyota,15 000 - 19 999,Excellent,2024,Oui,5,WW au Maroc,Hybride,Automatique
588,,Peugeot Diesel toutes options Modèle 2022,"Aïn Borja, Casablanca",Duster,Dacia,150 000 - 159 999,,2020,,,,Diesel,Manuelle
589,,Mercedes Classe A220d,"Route de Casablanca, Marrakech",Express,Renault,10 000 - 14 999,Excellent,2024,Non,5,WW au Maroc,Diesel,Manuelle
590,97 000 DH,OPEL ZAFIRA 1.7,"Toute la ville, Khénifra",Tiguan,Volkswagen,150 000 - 159 999,Excellent,2021,Oui,5,Dédouanée,Diesel,Automatique
591,145 000 DH,clio 5 2022,"Route de Sefrou, Fès",Série 3,BMW,190 000 - 199 999,Très bon,2014,Non,5,WW au Maroc,Diesel,Automatique
592,,Lamborghini Huracan Evo V10,"Route de Casablanca, Marrakech",2008,Peugeot,85 000 - 89 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Automatique
593,115 000 DH,Blw série 1,"2 Mars, Casablanca",Classe A,Mercedes-Benz,0 - 4 999,Excellent,2025,Oui,5,Importée neuve,Diesel,Automatique
594,,Ford Kouga finition ST Line Automatique 2020,"Aïn Borja, Casablanca",Zafira,Opel,250 000 - 299 999,Très bon,2008,Non,5,WW au Maroc,Diesel,Manuelle
595,,Dacia l3amra la carte,"Autre secteur, Agadir",Clio,Renault,75 000 - 79 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Manuelle
596,,Citroën Berlingo,"Boustane, Oujda",Huracan,Lamborghini,0 - 4 999,Excellent,2022,Oui,5,Importée neuve,Essence,Automatique
597,119 000 DH,Fiat 500 Essence Automatique 2019 à Rabat,"Autre secteur, Rabat",Série 1,BMW,200 000 - 249 999,Très bon,2012,Non,5,WW au Maroc,Diesel,Manuelle
598,,Volkswagen Tiguan R-line 2020 dedouané 2024,"Toute la ville, Béni Mellal",Kuga,Ford,100 000 - 109 999,Excellent,2020,Non,5,WW au Maroc,Diesel,Automatique
599,270 000 DH,BMW Série 1 Diesel Automatique 2020 à Casablanca,"Californie, Casablanca",Logan,Dacia,80 000 - 84 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Manuelle
600,172 000 DH,Citroen C3 AIRCROSS 2022 à Tanger,"Val Fleuri, Tanger",Berlingo,Citroen,110 000 - 119 999,Excellent,2020,Non,5,WW au Maroc,Diesel,Manuelle
601,135 000 DH,volvo xc60 D4,"Sidi Maarouf, Casablanca",500,Fiat,80 000 - 84 999,Excellent,2019,Oui,3,WW au Maroc,Essence,Automatique
602,,"Volkswagen Golf 8,5 R-LINE (Importée Neuve) 2025","Anfa, Casablanca",Tiguan,Volkswagen,130 000 - 139 999,Excellent,2020,Oui,5,Dédouanée,Diesel,Automatique
603,98 000 DH,Citroën C-Elysée Essence 6ch Manuelle 2020,"Ain Sebaa, Casablanca",Série 1,BMW,110 000 - 119 999,Excellent,2020,Non,5,WW au Maroc,Diesel,Automatique
604,155 000 DH,renault express,"Oulfa, Casablanca",C3,Citroen,60 000 - 64 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Manuelle
605,,Mercedes-Benz GLC 300DE Coupé (Importée Neuve),"Anfa, Casablanca",XC60,Volvo,200 000 - 249 999,Très bon,2012,Oui,5,WW au Maroc,Diesel,Automatique
606,,Renault clio 5 intense 2023,"Autre secteur, Fès",Golf 8,Volkswagen,0 - 4 999,Excellent,2025,,5,Importée neuve,Diesel,Automatique
607,,Peugeot 3008 Diesel Manuelle 2016 à Rabat,"Autre secteur, Rabat",C-Elysée,Citroen,110 000 - 119 999,Excellent,2020,Oui,5,WW au Maroc,Essence,Manuelle
608,240 000 DH,AUDI Q5 Diesel Automatique 2016 à Casablanca,"Autre secteur, Casablanca",Express,Renault,35 000 - 39 999,Excellent,2023,Non,3,WW au Maroc,Diesel,Manuelle
609,93 000 DH,Dodge Essence,"Guich Oudaya, Rabat",Classe GLC,Mercedes-Benz,0 - 4 999,Neuf,2025,,,Importée neuve,Hybride,Automatique
610,,Bentayga hybride S Facelift importé neuf,"Hay El Qods, Oujda",Clio,Renault,60 000 - 64 999,Neuf,2023,Oui,5,WW au Maroc,Diesel,Manuelle
611,168 000 DH,volkswagen passat cc,"Autre secteur, Casablanca",3008,Peugeot,160 000 - 169 999,Excellent,2016,Oui,5,Dédouanée,Diesel,Manuelle
612,,Audi Q8 Sline Exclusive 2024 13000 km,"Riviera, Casablanca",Q5,Audi,140 000 - 149 999,Bon,2016,Non,5,WW au Maroc,Diesel,Automatique
613,147 000 DH,Fiat Tipo Essence Automatique 2023 à Casablanca,"Anfa, Casablanca",Avenger,Dodge,160 000 - 169 999,Neuf,2014,Oui,5,Dédouanée,Essence,Automatique
614,,Dacia Duster,"Centre ville, Tétouan",Bentayga,Bentley,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Hybride,Automatique
615,,Mercedes classe C220 pack AMG line plus,"Oasis, Casablanca",Passat CC,Volkswagen,120 000 - 129 999,Excellent,2016,Non,5,WW au Maroc,Diesel,Manuelle
616,,Touran SOUND Diesel Auto pano,"Aïn Chock, Casablanca",Q8,Audi,10 000 - 14 999,Neuf,2024,Oui,5,Importée neuve,Diesel,Automatique
617,,opel corsa,"Autre secteur, Fès",Tipo,Fiat,20 000 - 24 999,Excellent,2023,Oui,5,WW au Maroc,Essence,Automatique
618,770 000 DH,Audi Q8 black édition,"Les Cretes, Mohammedia",Duster,Dacia,80 000 - 84 999,Excellent,2019,Oui,5,WW au Maroc,Diesel,Manuelle
619,189 000 DH,Ford Focus,"Marjane 2, Meknès",Classe C,Mercedes-Benz,10 000 - 14 999,Neuf,2021,Oui,5,Importée neuve,Diesel,Automatique
620,75 000 DH,Ford ranger 4x4 Climatisée,"Azli, Marrakech",Touran,Volkswagen,180 000 - 189 999,Excellent,2018,Oui,5,Dédouanée,Diesel,Automatique
621,,mercedes benz A180 AMG,"Aïn Chock, Casablanca",Corsa,Opel,50 000 - 54 999,Neuf,2023,Non,5,WW au Maroc,Diesel,Manuelle
